Product,Total_Results,DigiKey_Count,DigiKey_Pricing,DigiKey_Stock,DigiKey_Avg_RUB,Mouser_Count,Mouser_Pricing,Mouser_Stock,Mouser_Avg_RUB,Farnell_Count,Farnell_Pricing,Farnell_Stock,Farnell_Avg_RUB,TME_Count,TME_Pricing,TME_Stock,TME_Avg_RUB
2N3904,45,9,100%,100%,4,16,100%,69%,544,12,100%,58%,1268,8,0%,0%,0
STM32F407VGT6,38,8,100%,25%,9717,6,100%,67%,6826,11,100%,36%,10991,13,0%,0%,0
LM358,60,10,100%,100%,20,48,98%,98%,29,0,0%,0%,0,2,0%,0%,0
DS1307,47,10,100%,100%,352,24,58%,42%,705,11,100%,82%,506,2,0%,0%,0
1N4007,60,10,100%,100%,14,46,100%,70%,6,0,0%,0%,0,4,0%,0%,0
